pl_name,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_bmassj,st_teff,st_rad,st_mass,sy_dist
Kepler-806 b,Transit,2016,8.09219642,0.0764,0.00489,5770,1.16,0.99,361.896
Kepler-807 b,Transit,2016,117.9310878,0.4884,0.242,5965,1.06,1.04,1492.95
Kepler-808 b,Transit,2016,0.63133235,0.0116,0.00859,4653,0.71,0.76,321
Kepler-809 b,Transit,2016,55.63934,0.2901,0.0293,5734,0.98,0.99,961.405
Kepler-81 b,Transit,2012,5.955,0.0522,0.054,4385,0.59,0.64,348.291
Kepler-81 c,Transit,2012,12.04,0.08347,0.014,4385,0.59,0.64,348.291
Kepler-81 d,Transit,2014,20.837846,0.128,0.00606,4500,0.59,0.65,348.291
Kepler-810 b,Transit,2016,4.59725385,0.055,0.0138,5803,1.04,1.03,1458.59
Kepler-811 b,Transit,2016,23.58447697,0.1583,0.0244,5747,1.24,1.01,985.041
Kepler-812 b,Transit,2016,10.11716531,0.1024,0.0388,6761,1.71,1.45,1482.74
Kepler-813 b,Transit,2016,19.12947337,0.1439,0.0164,5743,0.93,0.95,840
Kepler-814 b,Transit,2016,6.1469851,0.0695,0.0162,6162,1.22,1.15,2055.77
Kepler-815 b,Transit,2016,8.57503552,0.0888,0.0498,5028,3.42,1.25,1259.28
Kepler-816 b,Transit,2016,10.50682565,0.0895,0.234,5286,0.85,0.9,983.697
Kepler-817 b,Transit,2016,3.99010623,0.0493,0.189,5861,1.03,1.03,1484.46
Kepler-818 b,Transit,2016,10.03538581,0.0886,0.072,5638,0.92,0.94,925.037
Kepler-819 b,Transit,2016,33.1995648,0.1894,0.0253,5279,0.81,0.86,664.306
Kepler-82 b,Transit,2012,26.44,0.1683,0.03823,5529,0.9,0.91,904.326
Kepler-82 c,Transit,2012,51.54,0.2626,0.04373,5529,0.9,0.91,904.326
Kepler-82 d,Transit,2014,2.382961,0.034,0.0119,5428,0.94,0.96,904.326
Kepler-82 e,Transit,2014,5.902206,0.063,0.021,5428,0.94,0.96,904.326
Kepler-82 f,Transit Timing Variations,2019,75.732,0.3395,0.06576,5529,0.9,0.91,904.326
Kepler-820 b,Transit,2016,127.8338098,0.5829,0.097,6260,1.36,1.23,1387.2
Kepler-821 b,Transit,2016,1.92279873,0.029,0.00714,5191,0.8,0.84,614.571
Kepler-822 b,Transit,2016,3.22296927,0.0412,0.0119,5928,1.08,1.06,860.391
Kepler-823 b,Transit,2016,4.16809082,0.0507,0.00972,5643,0.96,0.98,1389.27
Kepler-824 b,Transit,2016,4.51436633,0.055,0.0131,6035,1.22,1.15,1201.4
Kepler-825 b,Transit,2016,3.77360059,0.0453,0.0093,5976,1.08,1.03,807.85
Kepler-825 c,Transit,2016,8.1818246,0.0759,0.0127,5976,1.08,1.03,807.85
Kepler-826 b,Transit,2016,4.48758907,0.0528,0.0066,6079,1.15,1.05,779.596
Kepler-827 b,Transit,2016,51.92927591,0.2742,0.0849,5602,0.91,0.93,2046.68
Kepler-828 b,Transit,2016,0.56785714,0.0125,0.00909,5039,0.77,0.81,575.322
Kepler-829 b,Transit,2016,6.88337562,0.0678,0.016,5698,0.97,0.98,1073.76
Kepler-83 b,Transit,2012,9.77,0.07295,0.132,4082,0.61,0.66,400.409
Kepler-83 c,Transit,2012,20.09,0.11796,0.036,4082,0.61,0.66,400.409
Kepler-83 d,Transit,2014,5.169796,0.051,0.077,4648,0.59,0.58,400.409
Kepler-830 b,Transit,2016,11.29695137,0.1033,0.0111,6037,1.11,1.07,1122
Kepler-831 b,Transit,2016,5.62153941,0.0603,0.00678,5732,0.97,0.99,593.54
Kepler-832 b,Transit,2016,7.1396941,0.075,0.0154,5596,0.9,0.92,1688.12
Kepler-833 b,Transit,2016,18.7546998,0.1139,0.0149,4339,0.62,0.64,467.37
Kepler-834 b,Transit,2016,13.32388301,0.0862,0.0149,4554,0.66,0.7,633.937
Kepler-835 b,Transit,2016,11.41909375,0.107,0.0258,5954,1.11,1.08,2406.33
Kepler-836 b,Transit,2016,11.36112327,0.1013,0.0249,5895,1.04,1.03,980.035
Kepler-837 b,Transit,2016,16.56059504,0.1144,0.0223,5403,0.81,0.85,901.907
Kepler-838 b,Transit,2016,15.74957994,0.1266,0.0249,5770,0.96,0.98,1104.04
Kepler-839 b,Transit,2016,37.8144514,0.2341,0.0224,6058,1.31,1.22,944.561
Kepler-84 b,Transit,2012,8.726,0.0827,0.126,6039,1.43,1,1023.9
Kepler-84 c,Transit,2012,12.883,0.1072,0.064,6039,1.43,1,1023.9
Kepler-84 d,Transit,2014,4.224537,0.052,0.0078,6031,1.17,1.06,1023.9
Kepler-84 e,Transit,2014,27.434389,0.181,0.0229,6031,1.17,1.06,1023.9
Kepler-84 f,Transit,2014,44.552169,0.25,0.0172,6031,1.17,1.06,1023.9
Kepler-840 b,Transit,2016,2.49577962,0.0355,135,5920,1.06,1.04,1122.19
Kepler-841 b,Transit,2016,124.4198398,0.479,0.0749,5324,0.81,0.85,998.961
Kepler-842 b,Transit,2016,1.21956827,0.0204,0.01,4848,0.73,0.78,532.726
Kepler-843 b,Transit,2016,2.05387982,0.0313,0.0227,5830,1.03,1.02,1165.66
Kepler-844 b,Transit,2016,2.61302086,0.0298,0.0109,4128,0.57,0.59,431.776
Kepler-845 b,Transit,2016,0.92785982,0.017,0.0152,4913,0.75,0.79,431.051
Kepler-846 b,Transit,2016,19.80792185,0.1399,0.0211,5579,0.91,0.94,1127.12
Kepler-847 b,Transit,2016,2.3432319,0.0315,0.00553,4940,0.77,0.83,513.103
Kepler-848 b,Transit,2016,6.91134416,0.072,0.0111,5695,1.2,1.01,1378.47
Kepler-849 b,Transit,2016,394.6244904,1.1088,0.127,6059,1.64,1.23,822.134
Kepler-85 b,Transit,2012,8.306,0.0766,0.0143,5499,1.24,0.92,765.025
Kepler-85 c,Transit,2012,12.513,0.1007,0.066,5499,1.24,0.92,765.025
Kepler-85 d,Transit,2014,17.91323,0.13,0.00588,5436,0.89,0.87,765.025
Kepler-85 e,Transit,2014,25.216751,0.163,0.00189,5436,0.89,0.92,765.025
Kepler-850 b,Transit,2016,7.19303878,0.0744,0.012,5932,1.09,1.06,1661.28
Kepler-851 b,Transit,2016,8.50699658,0.0802,0.0109,5455,0.85,0.89,839.255
Kepler-852 b,Transit,2016,44.9309804,0.2654,0.022,6100,1.16,1.19,1619.03
Kepler-853 b,Transit,2016,7.16892463,0.0779,0.011,6350,1.55,1.3,568.676
Kepler-854 b,Transit,2016,2.14463285,0.0334,132,6179,1.27,1.17,1397.04
Kepler-855 b,Transit,2016,7.8866311,0.0762,0.166,5835,1.03,1.03,1506.58
Kepler-856 b,Transit,2016,8.02768059,0.0787,0.199,5535,0.93,0.96,1351.17
Kepler-857 b,Transit,2016,85.35129427,0.3751,0.117,5773,0.99,0.99,983.502
Kepler-858 b,Transit,2016,76.13602028,0.3403,0.0664,5653,0.91,0.96,298.532
Kepler-859 b,Transit,2016,20.38177573,0.1345,0.0307,5020,0.77,0.81,839.903
Kepler-860 b,Transit,2016,5.10137945,0.058,0.0332,5836,1.06,1.04,1056.36
Kepler-861 b,Transit,2016,3.94963138,0.0463,0.0183,5047,0.78,0.82,850.327
Kepler-862 b,Transit,2016,3.14866453,0.039,0.0174,5333,0.84,0.88,1039.03
Kepler-863 b,Transit,2016,15.59461874,0.122,0.0275,5678,0.95,0.96,1499.66
Kepler-864 b,Transit,2016,5.83376092,0.0687,0.02,5754,1,1,2022.9
Kepler-865 b,Transit,2016,14.16399294,0.1057,0.0213,5570,0.92,0.93,586.137
Kepler-866 b,Transit,2016,2.61703254,0.0331,0.0104,4751,0.71,0.75,646.667
Kepler-867 b,Transit,2016,150.242127,0.5375,0.0612,5541,0.91,0.92,1195.54
Kepler-868 b,Transit,2016,5.03251791,0.0575,0.0153,5614,0.89,0.93,1593.13
Kepler-869 b,Transit,2016,40.4287755,0.2244,0.0399,5664,0.95,0.97,939.455
Kepler-87 b,Transit,2013,114.73635,0.481,1.02,5600,1.82,1.1,1232.9
Kepler-87 c,Transit,2013,191.2318,0.676,0.02,5600,1.82,1.1,1232.9
Kepler-870 b,Transit,2016,21.3587621,0.1539,0.0256,5857,1.02,1.01,1259.46
Kepler-871 b,Transit,2016,22.0459018,0.1572,0.0424,5993,1.14,1.11,1976.05
Kepler-872 b,Transit,2016,2.57885507,0.0362,0.0145,5902,1.08,1.05,879.683
Kepler-873 b,Transit,2016,20.5533844,0.1542,0.0426,6163,1.27,1.18,1182.22
Kepler-874 b,Transit,2016,40.0686727,0.2234,0.0463,6020,1.13,1.09,1082.16
Kepler-875 b,Transit,2016,27.5073799,0.1771,0.0275,5958,1.11,1.06,1242.62
Kepler-876 b,Transit,2016,5.14438011,0.0549,0.00829,5060,0.77,0.81,820.913
Kepler-877 b,Transit,2016,18.45847097,0.1301,0.0162,5261,0.81,0.85,602.176
Kepler-878 b,Transit,2016,25.9422033,0.165,0.0138,5044,0.77,0.81,791.625
Kepler-879 b,Transit,2016,33.3855938,0.2012,0.0224,5792,1.02,1.02,802.672
Kepler-88 d,Radial Velocity,2020,1403,,3.05046,5466,0.9,0.99,376.863
Kepler-880 b,Transit,2016,7.71468975,0.0915,0.0238,6761,1.74,1.46,601.324
Kepler-881 b,Transit,2016,4.44448017,0.0552,0.012,5961,1.09,1.06,1375.18
Kepler-882 b,Transit,2016,3.98953967,0.0449,0.00642,5476,0.87,0.9,504.605
Kepler-883 b,Transit,2016,12.98495573,0.1055,0.012,6116,1.09,1.06,627.455
Kepler-884 b,Transit,2016,5.69919514,0.0622,0.00642,5715,0.94,1,476.733
Kepler-885 b,Transit,2016,18.11472949,0.1432,0.0214,6187,1.35,1.21,651.318
Kepler-886 b,Transit,2016,6.24146367,0.067,0.0092,6098,1.16,1.1,711.297
Kepler-887 b,Transit,2016,20.42228798,0.1536,0.0127,6194,1.29,1.19,886.588
Kepler-887 c,Transit,2016,7.63846023,0.0797,0.00474,6194,1.29,1.19,886.588
Kepler-888 b,Transit,2016,70.6979061,0.328,0.0118,5875,0.9,0.97,420.817
Kepler-889 b,Transit,2016,3.744439,0.0492,0.00416,5961,1.25,1.14,598.313
Kepler-890 b,Transit,2016,52.75875577,0.2944,0.184,5954,1.13,1.09,1712.12
Kepler-891 b,Transit,2016,53.44945593,0.2881,0.106,5887,1.07,1.06,2340.58
Kepler-892 b,Transit,2016,13.7521072,0.1015,0.0261,4747,0.72,0.75,570.727
Kepler-893 b,Transit,2016,6.33855761,0.0699,0.0297,5820,0.99,1,1285.59
Kepler-894 b,Transit,2016,9.803224,0.0916,0.0256,5603,0.85,0.87,1162.91
Kepler-895 b,Transit,2016,2.80624233,0.0328,0.0094,4315,0.61,0.65,540.134
Kepler-896 b,Transit,2016,144.547396,0.5164,0.0218,5262,0.81,0.84,2334.93
Kepler-897 b,Transit,2016,8.0472642,0.077,0.0198,5839,1.04,1.03,1519.25
Kepler-898 b,Transit,2016,5.8706191,0.0545,0.00889,4223,0.62,0.65,484.891
Kepler-899 b,Transit,2016,19.17891293,0.1392,0.0241,5595,0.91,0.93,1246.43
Kepler-9 b,Transit,2010,19.23891,0.143,0.13655,5774,0.96,1.02,628.257
Kepler-9 c,Transit,2010,38.9853,0.227,0.09408,5774,0.96,1.02,628.257
Kepler-9 d,Transit,2010,1.592851,0.0273,0.0105,5777,1.02,1.07,628.257
Kepler-90 i,Transit,2017,14.44912,,0.00724,6015,1.29,1.12,848.254
Kepler-900 b,Transit,2016,6.9913086,0.0679,0.0157,4836,0.73,0.78,487.525
Kepler-901 b,Transit,2016,3.51749439,0.0378,0.00771,4184,0.57,0.59,253.867
Kepler-902 b,Transit,2016,40.1099547,0.223,0.022,5647,0.93,0.95,1165.34
Kepler-903 b,Transit,2016,10.3507721,0.0907,0.0148,5682,0.97,0.98,1369.24
Kepler-903 c,Transit,2016,62.9228557,0.302,0.0218,5682,0.97,0.98,1369.24
Kepler-904 b,Transit,2016,3.02166863,0.0417,0.0119,6160,1.25,1.16,978.125
Kepler-905 b,Transit,2016,5.08274652,0.0572,0.00809,5461,0.86,0.95,529.268
Kepler-906 b,Transit,2016,41.6979976,0.2359,0.016,6035,1.02,1.06,757.791
Kepler-907 b,Transit,2016,15.86621821,0.1225,0.00588,6106,1.38,1.08,352
Kepler-908 b,Transit,2016,1.34059747,0.0247,0.00624,5973,1.12,1.11,290.843
Kepler-909 b,Transit,2016,13.93290318,0.1175,0.00869,6154,1.23,1.17,309.596
Kepler-91 b,Transit,2013,6.24658,0.0731,0.81,4550,6.3,1.31,1294.69
Kepler-910 b,Transit,2016,2.36436901,0.0382,0.0015,6230,1.5,1.26,400.289
Kepler-911 b,Transit,2016,20.310501,0.1549,0.0229,6112,1.99,1.34,556.168
Kepler-912 b,Transit,2016,2.53475627,0.0339,0.0259,5998,1.11,1.07,2004.72
Kepler-913 b,Transit,2016,10.29672521,0.1009,0.0154,4687,0.61,0.63,991.618
Kepler-913 c,Transit,2021,5.93911982,0.0699,0.0447,6068,1.8,1.29,991.618
Kepler-914 b,Transit,2016,4.40966548,0.0544,0.0078,5877,1.15,1.1,753.723
Kepler-915 b,Transit,2016,4.59489604,0.0566,0.00899,6173,1.38,1.21,849.036
Kepler-916 b,Transit,2016,32.2968798,0.1885,0.0118,5248,0.81,0.85,830.712
Kepler-917 b,Transit,2016,2.97041437,0.0378,0.0136,5418,0.76,0.8,3460.51
Kepler-918 b,Transit,2016,4.85386933,0.0569,0.0116,6028,1.14,1.11,1025.03
Kepler-919 b,Transit,2016,11.04603384,0.0981,0.0179,6113,1.21,1.15,1119.87
Kepler-92 b,Transit,2013,13.749,0.1174,0.202,5883,1.7,1.21,477.992
Kepler-92 c,Transit,2013,26.723,0.1829,0.019,5883,1.7,1.21,477.992
Kepler-92 d,Transit,2015,49.3568,0.2754,0.0155,5904.34,1.82,1.07,477.992
Kepler-920 b,Transit,2016,6.53192704,0.065,0.0203,5403,0.85,0.89,1001.68
Kepler-920 c,Transit,2016,100.8274113,0.4029,0.0436,5403,0.85,0.89,1001.68
Kepler-921 b,Transit,2016,51.300634,0.2716,0.0271,5663,0.91,0.93,934.49
Kepler-922 b,Transit,2016,0.93846683,0.0182,0.00819,5671,0.93,0.95,536.323
Kepler-923 b,Transit,2016,6.93366476,0.0715,0.0078,5988,1.26,1.11,1000.28
Kepler-924 b,Transit,2016,61.0370117,0.3359,0.0303,6167,1.23,1.14,1053.04
Kepler-925 b,Transit,2016,33.8678531,0.1805,0.0191,4673,0.72,0.77,611.115
Kepler-926 b,Transit,2016,52.0688601,0.2739,0.0187,5806,1.01,1.01,921.361
Kepler-927 b,Transit,2016,9.1149903,0.0866,0.0113,5743,0.99,0.99,831.685
Kepler-928 b,Transit,2016,3.9324613,0.0444,0.00993,4700,0.7,0.73,508.809
Kepler-929 b,Transit,2016,0.92103214,0.0192,0.00444,5869,1.02,1.01,1311.23
Kepler-93 b,Transit,2014,4.72674,0.053,0.0143,5669,0.98,1.09,95.9115
Kepler-93 c,Radial Velocity,2014,1460,,3,5669,0.92,0.91,95.9115
Kepler-930 b,Transit,2016,71.4517775,0.3475,0.0163,6335,1.4,1.25,848.396
Kepler-931 b,Transit,2016,8.03755877,0.0719,0.00733,5241,0.81,0.86,490
Kepler-932 b,Transit,2016,1.9214374,0.0279,0.00771,5331,0.84,0.87,465.612
Kepler-933 b,Transit,2016,14.20443009,0.1041,0.0208,5346,0.84,0.87,1017.2
Kepler-934 b,Transit,2016,55.6738309,0.2658,0.0158,5001,0.77,0.81,608.738
Kepler-935 b,Transit,2016,4.88083852,0.0527,0.00752,4830,0.73,0.78,471.782
Kepler-936 b,Transit,2016,10.56134221,0.0954,0.00849,5482,0.89,0.92,823.399
Kepler-937 b,Transit,2016,67.668827,0.3214,0.042,6095,1.22,1.15,1571.46
Kepler-937 c,Transit,2016,153.343364,0.5545,0.0239,6095,1.22,1.15,1571.46
Kepler-938 b,Transit,2016,52.6298417,0.2689,0.0175,5533,0.89,0.92,1182.05
Kepler-939 b,Transit,2016,14.878296,0.1153,0.0117,5471,0.85,0.88,2093.62
Kepler-94 b,Transit,2014,2.50806,0.03106,0.034,4781,0.76,0.81,191.904
Kepler-94 c,Radial Velocity,2014,820.3,,9.836,4781,0.76,0.81,191.904
Kepler-940 b,Transit,2016,59.6225257,0.3059,0.035,5769,0.96,0.97,1260.78
Kepler-941 b,Transit,2016,17.42395198,0.1311,0.0305,5539,0.86,0.89,1088.36
Kepler-942 b,Transit,2016,44.96417488,0.2298,0.0163,4861,0.75,0.81,216.354
Kepler-943 b,Transit,2016,49.7701438,0.2559,0.0928,5612,0.91,0.93,2300.53
Kepler-944 b,Transit,2016,43.3167737,0.2288,0.0233,5409,0.83,0.86,1349.43
Kepler-945 b,Transit,2016,31.0033814,0.2037,0.0233,5718,0.97,0.97,1651.25
Kepler-946 b,Transit,2016,11.79162572,0.1002,0.0138,5665,0.93,0.94,1137.29
Kepler-947 b,Transit,2016,26.9644317,0.1773,0.0183,5508,0.87,0.9,1730.78
Kepler-948 b,Transit,2016,7.76846622,0.0749,0.0128,5679,0.94,0.96,868.017
Kepler-949 b,Transit,2016,8.6893073,0.0774,0.0277,5403,0.86,0.89,486.105
Kepler-95 b,Transit,2014,11.5231,0.1017,0.041,5699,1.41,1.08,445.656
Kepler-950 b,Transit,2016,98.7180406,0.3982,0.188,5857,1.02,1.02,2161.6
Kepler-951 b,Transit,2016,71.52530845,0.3091,0.0839,4834,0.73,0.77,382.509
Kepler-952 b,Transit,2016,130.3546919,0.5183,0.143,5730,0.99,1,1304.25
Kepler-953 b,Transit,2016,88.40655258,0.392,0.0519,5416,0.99,0.95,258.893
Kepler-953 c,Transit,2016,9.10967112,0.0862,0.0057,5416,0.99,0.95,258.893
Kepler-954 b,Transit,2016,16.78176602,0.118,0.0189,4990,0.76,0.82,215.814
Kepler-955 b,Transit,2016,14.53244172,0.1083,0.0313,5350,0.84,0.89,550.383
Kepler-956 b,Transit,2016,5.24867263,0.0596,0.0292,6040,1.15,1.1,544.939
Kepler-957 b,Transit,2016,5.90741354,0.0559,0.0816,4963,0.75,0.81,824.688
Kepler-958 b,Transit,2016,9.7678805,0.0852,0.0154,5421,0.86,0.91,449.773
Kepler-959 b,Transit,2016,14.80074836,0.1633,0.0555,7005,2.01,1.6,807.729
Kepler-96 b,Transit,2014,16.2385,0.1235,0.027,5690,1.02,1,122.881
Kepler-960 b,Transit,2016,3.12686223,0.0414,0.0184,4755,0.72,0.77,284.916
Kepler-961 b,Transit,2016,16.87727414,0.1245,0.0221,5582,0.9,0.96,574.314
Kepler-962 b,Transit,2016,12.05707239,0.0984,0.0143,5478,0.86,0.93,411.486
Kepler-963 b,Transit,2016,9.97683705,0.0849,0.0238,5461,0.87,0.91,771.494
Kepler-964 b,Transit,2016,13.5225106,0.1063,0.0162,5427,0.84,0.93,454.626
Kepler-965 b,Transit,2016,134.2527298,0.512,0.0357,5886,1.15,1.05,582.828
Kepler-966 b,Transit,2016,99.747622,0.3907,0.0502,5840,1.02,1.02,1027.8
Kepler-967 b,Transit,2016,13.22713379,0.1027,0.0193,5178,0.8,0.84,568.546
Kepler-967 c,Transit,2016,198.7112502,0.6253,0.0407,5178,0.8,0.84,568.546
Kepler-968 b,Transit,2016,3.69298373,0.0389,0.0147,4598,0.7,0.76,290.324
Kepler-968 c,Transit,2016,5.70940492,0.052,0.011,4598,0.7,0.76,290.324
Kepler-969 b,Transit,2016,34.1731714,0.2027,0.0155,5214,0.82,0.92,390.354
Kepler-969 c,Transit,2016,1.6829346,0.0272,0.00295,5214,0.82,0.92,390.354
Kepler-97 b,Transit,2014,2.58664,0.0356,0.011,5779,0.98,0.94,400.907
Kepler-97 c,Radial Velocity,2014,789,,1.08,5779,0.98,0.94,400.907
Kepler-970 b,Transit,2016,16.73652231,0.1107,0.0255,4511,0.67,0.7,331.545
Kepler-971 b,Transit,2016,9.59070716,0.0827,0.0163,5431,0.85,0.88,338.522
Kepler-972 b,Transit,2016,7.03932553,0.0734,0.0614,6146,1.22,1.15,1198.03
Kepler-973 b,Transit,2016,49.6077331,0.2508,0.0142,5213,0.78,0.86,328.52
Kepler-974 b,Transit,2016,4.19449651,0.0419,0.00972,3687,0.5,0.52,134.311
Kepler-975 b,Transit,2016,1.97034246,0.0303,0.00879,4897,0.75,0.8,426.088
Kepler-976 b,Transit,2016,105.9564148,0.4217,0.0467,5232,0.83,0.87,1012.41
Kepler-977 b,Transit,2016,26.85328322,0.162,0.0232,5315,0.83,0.87,568.751
Kepler-978 b,Transit,2016,49.6221509,0.2726,0.029,6002,1.09,1.07,682.522
Kepler-979 b,Transit,2016,8.0880135,0.0753,0.0247,5310,0.83,0.87,576.503
Kepler-98 b,Transit,2014,1.54168,0.0256,0.011,5539,1.11,0.99,350.315
Kepler-980 b,Transit,2016,11.55102504,0.1005,0.0239,5935,1.06,1.05,961.468
Kepler-981 b,Transit,2016,4.46975774,0.0535,0.0187,5718,0.96,0.98,878.082
Kepler-982 b,Transit,2016,15.7738221,0.1291,0.0179,6139,1.29,1.16,801.479
Kepler-983 b,Transit,2016,60.0855082,0.3148,0.0194,6052,1.08,1.13,714.437
Kepler-984 b,Transit,2016,43.0342272,0.2327,0.0162,5610,0.93,0.96,460.188
Kepler-985 b,Transit,2016,116.331901,0.4451,0.0288,5434,0.85,0.91,679.361
Kepler-986 b,Transit,2016,56.4349938,0.276,0.0194,5642,0.98,0.96,548.364
Kepler-987 b,Transit,2016,105.3033148,0.4238,0.0336,5637,0.91,0.97,914.126
Kepler-988 b,Transit,2016,17.76080053,0.1085,0.0155,4005,0.53,0.55,304.889
Kepler-989 b,Transit,2016,7.96431535,0.0734,0.0174,5074,0.78,0.82,491.978
Kepler-99 b,Transit,2014,4.60358,0.0503,0.019,4782,0.73,0.79,208.369
Kepler-990 b,Transit,2016,9.91723428,0.0883,0.0229,5948,1.08,1.05,802.163
Kepler-990 c,Transit,2016,0.53835431,0.0127,0.0093,5948,1.08,1.05,802.163
Kepler-991 b,Transit,2016,82.5342519,0.3104,0.022,4392,0.61,0.64,389.561
Kepler-992 b,Transit,2016,20.16034462,0.1339,0.0102,4944,0.74,0.8,259.639
Kepler-993 b,Transit,2016,22.08557563,0.13,0.0287,3843,0.54,0.57,324.423
Kepler-994 b,Transit,2016,1.15116651,0.0177,0.01,3934,0.54,0.56,188.158
Kepler-995 b,Transit,2016,28.26731672,0.1701,0.0244,5206,0.8,0.83,609.638
Kepler-996 b,Transit,2016,3.77059058,0.0474,0.0144,6014,1.14,1.09,1216.58
Kepler-997 b,Transit,2016,2.70730672,0.0397,0.00761,6150,1.56,1.22,467.568
Kepler-998 b,Transit,2016,5.65377733,0.0626,0.0189,6058,1.18,1.12,986.364
Kepler-999 b,Transit,2016,5.99185702,0.0681,0.0191,6237,1.65,1.29,545.063
L 168-9 b,Transit,2020,1.4015,0.02091,0.01447,3800,0.6,0.62,25.1496
L 98-59 b,Transit,2019,2.2531136,0.02191,0.00126,3415,0.3,0.27,10.6194
L 98-59 c,Transit,2019,3.6906777,0.0304,0.00698,3415,0.3,0.27,10.6194
L 98-59 d,Transit,2019,7.4507245,0.0486,0.0061,3415,0.3,0.27,10.6194
L 98-59 e,Radial Velocity,2021,12.796,0.0717,0.00963,3415,0.3,0.27,10.6194
LHS 1140 b,Transit,2017,24.73694,0.0957,0.02007,3216,0.21,0.19,14.9861
LHS 1140 c,Transit,2018,3.77792,0.02734,0.00554,3216,0.21,0.19,14.9861
LHS 1478 b,Transit,2021,1.9495378,0.01848,0.00733,3381,0.25,0.24,18.2276
LHS 1678 b,Transit,2021,0.8602322,0.01251,0.0011,3490,0.33,0.34,19.8782
LHS 1678 c,Transit,2021,3.694247,0.0331,0.0044,3490,0.33,0.34,19.8782
LHS 1815 b,Transit,2020,3.81433,0.0404,0.02737,3643,0.5,0.5,29.8424
LHS 3844 b,Transit,2019,0.46292913,0.00622,0.00708,3036,0.19,0.15,14.8846
LP 714-47 b,Transit,2020,4.052037,0.0417,0.09691,3950,0.58,0.59,52.616
LP 791-18 b,Transit,2019,0.948005,0.00969,0.00459,2960,0.17,0.14,26.4927
LP 791-18 c,Transit,2019,4.989963,0.029392,0.0187,2960,0.17,0.14,26.4927
LSPM J2116+0234 b,Radial Velocity,2019,14.4399,0.0876,0.04185,3475,0.43,0.43,17.6297
LTT 1445 A b,Transit,2019,5.3587657,0.03813,0.00903,3340,0.27,0.26,6.86929
LTT 1445 A c,Transit,2022,3.1239035,0.02661,0.00485,3340,0.27,0.26,6.86929
LTT 3780 b,Transit,2020,0.768448,0.01211,0.00824,3331,0.37,0.4,21.9814
LTT 3780 c,Transit,2020,12.2519,0.07673,0.02706,3331,0.37,0.4,21.9814
LTT 9779 b,Transit,2020,0.792052,0.01679,0.09225,5443,0.95,0.77,80.4373
LkCa 15 b,Imaging,2015,,14.7,,4194,1.61,,158.152
LkCa 15 c,Imaging,2015,,18.6,,4194,1.61,,158.152
Lupus-TR-3 b,Transit,2007,3.91405,0.0464,0.81,5000,0.82,0.87,773.409
MASCARA-1 b,Transit,2017,2.14878,0.043,3.7,7554,2.1,1.72,182.273
MASCARA-4 b,Transit,2020,2.82406,0.047,3.1,7800,1.92,1.75,170.696
MOA-2007-BLG-192L b,Microlensing,2008,,0.62,0.01,,,0.06,1000
MOA-2007-BLG-400L b,Microlensing,2008,,6.5,0.83,,,0.3,5800
MOA-2008-BLG-310L b,Microlensing,2009,,1.1,0.0736,,,0.21,7700
MOA-2008-BLG-379L b,Microlensing,2013,,2.7,4.1,,,0.56,3300
MOA-2009-BLG-266L b,Microlensing,2011,2774,3.2,0.0327,,,0.56,3040
MOA-2009-BLG-319L b,Microlensing,2010,,2.03,0.212,,,0.52,7050
MOA-2009-BLG-387L b,Microlensing,2010,1982,1.8,2.6,,,0.19,5690
MOA-2010-BLG-073L b,Microlensing,2012,,1.21,11,,,0.16,2800
MOA-2010-BLG-117L b,Microlensing,2018,,2.42,0.54,,,0.58,3500
MOA-2010-BLG-328L b,Microlensing,2013,,0.92,0.029,,,0.11,810
MOA-2010-BLG-353L b,Microlensing,2015,,1.72,0.27,,,0.18,6430
MOA-2010-BLG-477L b,Microlensing,2012,,2,1.5,5950,,0.67,2300
MOA-2011-BLG-028L b,Microlensing,2016,,4.14,0.09,,,0.75,7380
MOA-2011-BLG-262L b,Microlensing,2014,,0.95,0.053,,,0.11,7200
MOA-2011-BLG-291L b,Microlensing,2018,,0.69,0.057,,,0.15,4400
MOA-2011-BLG-293L b,Microlensing,2012,547.5,1.1,4.8,,,0.86,7720
MOA-2011-BLG-322L b,Microlensing,2013,,4.3,11.6,,,0.39,7560
MOA-2012-BLG-006L b,Microlensing,2017,,10.2,8.4,,,0.49,5300
MOA-2012-BLG-505L b,Microlensing,2017,,0.9,0.0211,,,0.1,7210
MOA-2013-BLG-220L b,Microlensing,2014,,3.03,2.74,,,0.88,6720
MOA-2013-BLG-605L b,Microlensing,2016,,0.93,0.0102,,,0.02,850
MOA-2015-BLG-337L b,Microlensing,2018,,0.24,0.106,,,0.01,7100
MOA-2016-BLG-227L b,Microlensing,2017,,1.39,2.8,,,0.29,6500
MOA-2016-BLG-319L b,Microlensing,2018,,0.95,0.62,,,0.15,6800
MOA-bin-1L b,Microlensing,2012,,8.3,3.7,,,0.75,5100
MOA-bin-29 b,Microlensing,2019,,0.48,0.6,,,0.03,7120
MXB 1658-298 b,Eclipse Timing Variations,2017,760,1.613,23.7,,,1.98,
NGC 2682 Sand 364 b,Radial Velocity,2014,121.71,0.53,6.69,4284,39.59,9.06,817.192
NGC 2682 Sand 978 b,Radial Velocity,2017,511.21,,2.18,4200,21.02,1.37,821.918
