pl_name,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_bmassj,st_teff,st_rad,st_mass,sy_dist
GJ 504 b,Imaging,2013,,43.5,4,6234,1.26,1.22,17.5299
GJ 536 b,Radial Velocity,2016,8.7076,0.06661,0.01686,3685,0.5,0.52,10.4092
GJ 581 b,Radial Velocity,2005,5.3686,0.04061,0.0497,3396,0.33,0.31,6.2981
GJ 581 c,Radial Velocity,2007,12.914,0.0721,0.0173,3396,0.33,0.31,6.2981
GJ 581 e,Radial Velocity,2009,3.149,0.02815,0.0053,3396,0.33,0.31,6.2981
GJ 625 b,Radial Velocity,2017,14.628,0.078361,0.00887,3499,0.31,0.3,6.47249
GJ 649 b,Radial Velocity,2009,598.3,1.135,0.328,3700,0.5,0.54,10.3796
GJ 667 C b,Radial Velocity,2011,7.2004,0.0505,0.018,3350,,0.33,7.24396
GJ 667 C c,Radial Velocity,2011,28.14,0.125,0.012,3350,,0.33,7.24396
GJ 667 C e,Radial Velocity,2013,62.24,0.213,0.008,3350,,0.33,7.24396
GJ 667 C f,Radial Velocity,2013,39.026,0.156,0.008,3350,,0.33,7.24396
GJ 667 C g,Radial Velocity,2013,256.2,0.549,0.014,3350,,0.33,7.24396
GJ 674 b,Radial Velocity,2007,4.6938,0.039,0.035,3600,0.36,0.35,4.54896
GJ 676 A b,Radial Velocity,2010,1056.80005,1.82,6.7,3734,0.69,0.73,16.0272
GJ 676 A c,Radial Velocity,2016,7337,6.6,6.8,4006.03,0.65,0.63,16.0272
GJ 676 A d,Radial Velocity,2012,3.6005,0.0413,0.014,4006.03,0.65,0.71,16.0272
GJ 676 A e,Radial Velocity,2012,35.39,0.187,0.025,4006.03,0.65,0.71,16.0272
GJ 682 b,Radial Velocity,2014,17.478,0.08,0.01384,3028,0.3,0.27,5.00671
GJ 682 c,Radial Velocity,2014,57.32,0.176,0.02737,3028,0.3,0.27,5.00671
GJ 685 b,Radial Velocity,2019,24.16,0.1344,0.02832,3816,0.54,0.55,14.3155
GJ 687 b,Radial Velocity,2014,38.142,0.163,0.05412,3413,0.42,0.4,4.54939
GJ 687 c,Radial Velocity,2020,727.562,1.165,0.05034,3413,0.42,0.4,4.54939
GJ 720 A b,Radial Velocity,2021,19.466,0.119,0.04292,3837,0.56,0.57,15.5575
GJ 740 b,Radial Velocity,2021,2.37756,0.029,0.00931,3913,0.56,0.58,11.1017
GJ 832 b,Radial Velocity,2008,3657,3.56,0.68,3472,0.44,0.45,4.96435
GJ 832 c,Radial Velocity,2014,35.68,0.163,0.017,3472,0.44,0.45,4.96435
GJ 849 b,Radial Velocity,2006,1915,2.409,0.9,3562.68,0.47,0.49,8.80058
GJ 849 c,Radial Velocity,2014,7068,4.974,0.702,3562.68,0.47,0.49,8.80058
GJ 86 b,Radial Velocity,1999,15.76491,0.11,4.42,5182,0.77,0.93,10.7836
GJ 876 b,Radial Velocity,1998,61.1166,0.208317,2.2756,3293.74,0.3,0.32,4.67517
GJ 876 c,Radial Velocity,2000,30.0881,0.12959,0.7142,3293.74,0.3,0.32,4.67517
GJ 876 d,Radial Velocity,2005,1.93778,0.020807,0.021,3293.74,0.3,0.32,4.67517
GJ 876 e,Radial Velocity,2010,124.26,0.3343,0.046,3271,0.3,0.32,4.67517
GJ 887 b,Radial Velocity,2020,9.262,0.068,0.01321,3688,0.47,0.49,3.29
GJ 887 c,Radial Velocity,2020,21.789,0.12,0.02391,3688,0.47,0.49,3.29
GJ 9066 b,Radial Velocity,2020,241.883,0.403,0.09722,3305,0.18,0.15,4.471
GJ 9066 c,Radial Velocity,2020,767.887,0.87,0.22528,3305,0.18,0.15,4.471
GJ 96 b,Radial Velocity,2018,73.94,0.291,0.06186,3785,0.58,0.6,11.9315
GJ 9689 b,Radial Velocity,2020,18.27,0.1139,0.03036,3836,0.57,0.59,30.6203
GJ 9827 b,Transit,2017,1.2089819,0.0188,0.01545,4340,0.6,0.61,29.661
GJ 9827 c,Transit,2017,3.6480957,0.03925,0.00264,4340,0.6,0.61,29.661
GJ 9827 d,Transit,2017,6.2014698,0.05591,0.01271,4340,0.6,0.61,29.661
GPX-1 b,Transit,2021,1.744579,0.0338,19.7,7000,1.56,1.68,655.013
